"date","client","revenue","salary_avg","country","payment"
"2020-10-01","meganjackson789",9696.03,2180.76,"United States","cash"
"2019-05-01","brianjohnson654",6904.08,851.27,"Spain","fiverr"
"2020-07-01","UBO",9129.78,2729.37,"United Arab Emirates","cash"
"2019-06-01","lifeaj130",10040.02,2215.72,"Brazil","cash"
"2020-04-01","danielrivera321",10093.26,3701.12,"Australia","fiverr"
"2019-07-01","danielrivera321",7047.39,2292.93,"Spain","cash"
"2019-10-01","chrisdavis890",6527.54,1903.92,"United States","fiverr"
"2020-05-01","UDLA",8035.41,4228.69,"Germany","cash"
"2020-09-01","jessicawong987",10497.8,1968.83,"Brazil","cash"
"2020-02-01","laurenrodriguez654",6376.01,1967.71,"Brazil","cash"
"2019-09-01","lifeaj130",6906.88,3203.84,"Brazil","cash"
"2019-11-01","jenniferbrown890",8554.59,747.39,"Brazil","fiverr"
"2020-07-01","rebeccakelly",7892.58,847.49,"Brazil","cash"
"2020-10-01","UDLA",8937.35,2365.95,"Brazil","cash"
"2019-05-01","UBO",9357.47,867.68,"Brazil","fiverr"
"2020-02-01","brandicasey39",9464.16,2955.95,"Chile","cash"
"2020-12-01","victoriajones321",4293.78,2603.54,"Brazil","cash"
"2019-03-01","mattmiller234",9829.48,2139.84,"United States","fiverr"
"2020-12-01","ericgarcia890",4842.9,3436.23,"Brazil","cash"
"2020-04-01","josephrivera789",8859.2,770.12,"Spain","cash"
"2020-05-01","hueydog1",8982.44,2853.88,"United States","paypal"
"2019-12-01","jessicawong987",6672.19,3468.03,"United States","cash"
"2019-09-01","jessicawong987",4905.37,2220.08,"Brazil","cash"
"2020-09-01","kaylamartinez987",7693.73,3498.59,"Brazil","fiverr"
"2020-02-01","rebeccakelly",10186.2,3527.12,"Brazil","paypal"
"2020-12-01","UDLA",9137.38,4519.63,"United States","cash"
"2019-12-01","brianjohnson654",6559.24,4687.94,"Brazil","fiverr"
"2019-04-01","andrewgarcia456",8264.15,2319.89,"Brazil","cash"
"2020-03-01","williamnguyen123",7423.74,3510.13,"Brazil","cash"
"2020-10-01","peterpark789",5659.02,1517.29,"Brazil","fiverr"
"2020-05-01","UBO",11045.9,1879.11,"United States","cash"
"2020-01-01","elizabethkim456",9568.1,2612.73,"Brazil","cash"
"2020-09-01","laurenrodriguez654",4615.73,3630.24,"United States","cash"
"2020-02-01","williamnguyen123",5408.48,4232,"Burkina Faso","cash"
"2019-04-01","stephaniechen123",8566.86,3032.84,"Chile","fiverr"
"2020-04-01","rebeccakelly",7983.49,3596.85,"Brazil","fiverr"
"2020-04-01","hueydog1",9316.55,2728.5,"Brazil","cash"
"2020-04-01","lifeaj130",9004.1,3069.05,"United States","paypal"
"2020-04-01","nataliechen567",5089.61,2717.54,"United States","cash"
"2019-09-01","UDLA",8810.16,2115.89,"Brazil","cash"
"2019-11-01","ashleytaylor321",4278.09,512.62,"United States","paypal"
"2019-08-01","jessicawong987",6760.35,2394.37,"Chile","cash"
"2020-10-01","brianjohnson654",7551.86,1872.69,"Brazil","fiverr"
"2019-05-01","danielrivera321",9401.81,1656.66,"United States","cash"
"2019-01-01","lifeaj130",5406.97,2792.87,"Spain","cash"
"2019-03-01","jatalijatali",12654,2544.97,"Brazil","cash"
"2020-12-01","johndoe123",8490.89,3522.72,"Brazil","paypal"
"2020-07-01","UDLA",6313.97,1283.75,"United States","cash"
"2020-03-01","rebeccakelly",8250.48,3143.64,"Brazil","paypal"
"2020-02-01","UBO",5334.52,3321.85,"Chile","cash"
"2020-11-01","williamnguyen123",9103.95,1663.99,"Brazil","paypal"
"2020-04-01","victoriajones321",9157.78,713.49,"Brazil","fiverr"
"2020-04-01","UDLA",8181.87,1273.76,"Brazil","fiverr"
"2019-09-01","UBO",8433.6,1691.07,"Germany","cash"
"2019-05-01","brandicasey39",11231.18,3227.88,"Brazil","cash"
"2020-09-01","jameslee987",5055.92,2423.9,"Brazil","cash"
"2019-10-01","thomasdavis234",12147.91,1528.17,"Brazil","fiverr"
"2020-01-01","stephaniechen123",4820.03,3083.98,"Germany","cash"
"2019-10-01","jatalijatali",10250.79,2380.39,"Brazil","cash"
"2019-01-01","UDLA",8823.85,3657.23,"Brazil","cash"
"2019-04-01","tt_gta",7761,2225.6,"United States","cash"
"2019-11-01","ashleytaylor321",7277.06,3440.15,"United States","cash"
"2019-10-01","brandicasey39",4509.14,3187.38,"Brazil","fiverr"
"2019-03-01","elizabethkim456",9333.79,2387.1,"United States","fiverr"
"2019-07-01","jatalijatali",8399.76,2644.06,"United States","fiverr"
"2019-02-01","jessicawong987",9728.86,1605.54,"United States","cash"
"2019-05-01","chrisdavis890",9619.42,2515.52,"Burkina Faso","cash"
